"STATION","NAME","DATE","TMAX","TMIN"
"USC00040693","BERKELEY, CA US","2022-10-24","74","52"
"USC00040693","BERKELEY, CA US","2022-10-25","67","48"
"USC00040693","BERKELEY, CA US","2022-10-26","69","48"
"USC00040693","BERKELEY, CA US","2022-10-27","69","49"
"USC00040693","BERKELEY, CA US","2022-10-28","68","48"
"USC00040693","BERKELEY, CA US","2022-10-29","70","47"
"USC00040693","BERKELEY, CA US","2022-10-30","70","51"
"USC00040693","BERKELEY, CA US","2022-10-31","64","52"
"USC00040693","BERKELEY, CA US","2022-11-01","58","47"
"USC00040693","BERKELEY, CA US","2022-11-02","59","40"
"USC00040693","BERKELEY, CA US","2022-11-03","60","40"
"USC00040693","BERKELEY, CA US","2022-11-04","64","49"
"USC00040693","BERKELEY, CA US","2022-11-05","59","48"
"USC00040693","BERKELEY, CA US","2022-11-06","61","47"
"USC00040693","BERKELEY, CA US","2022-11-07","60","46"
"USC00040693","BERKELEY, CA US","2022-11-08","54","45"
"USC00040693","BERKELEY, CA US","2022-11-09","58","44"
"USC00040693","BERKELEY, CA US","2022-11-10","62","43"
"USC00040693","BERKELEY, CA US","2022-11-11","61","43"
"USC00040693","BERKELEY, CA US","2022-11-12","60","44"
"USC00040693","BERKELEY, CA US","2022-11-13","65","42"
"USC00040693","BERKELEY, CA US","2022-11-14","62","42"
"USC00040693","BERKELEY, CA US","2022-11-15","70","44"
"USC00040693","BERKELEY, CA US","2022-11-16","70","45"
"USC00040693","BERKELEY, CA US","2022-11-17","65","44"
"USC00040693","BERKELEY, CA US","2022-11-18","65","44"
"USC00040693","BERKELEY, CA US","2022-11-19","66","45"
"USC00040693","BERKELEY, CA US","2022-11-20","68","44"
"USC00040693","BERKELEY, CA US","2022-11-21","65","44"
"USC00040693","BERKELEY, CA US","2022-11-22","65","44"
"USC00040693","BERKELEY, CA US","2022-11-23","67","47"
"USC00040693","BERKELEY, CA US","2022-11-24","71","48"
"USC00040693","BERKELEY, CA US","2022-11-25","71","47"
"USC00040693","BERKELEY, CA US","2022-11-26","67","46"
"USC00040693","BERKELEY, CA US","2022-11-27","64","46"
"USC00040693","BERKELEY, CA US","2022-11-28","61","40"
"USC00040693","BERKELEY, CA US","2022-11-29","58","39"
"USC00040693","BERKELEY, CA US","2022-11-30","58","44"
"USC00040693","BERKELEY, CA US","2022-12-01","49","37"
"USC00040693","BERKELEY, CA US","2022-12-02","54","37"
"USC00040693","BERKELEY, CA US","2022-12-03","50","45"
"USC00040693","BERKELEY, CA US","2022-12-04","61","49"
"USC00040693","BERKELEY, CA US","2022-12-05","58","49"
"USC00040693","BERKELEY, CA US","2022-12-06","56","42"
"USC00040693","BERKELEY, CA US","2022-12-07","59","42"
"USC00040693","BERKELEY, CA US","2022-12-08","55","43"
"USC00040693","BERKELEY, CA US","2022-12-09","54","43"
"USC00040693","BERKELEY, CA US","2022-12-10","56","43"
"USC00040693","BERKELEY, CA US","2022-12-11","52","43"
"USC00040693","BERKELEY, CA US","2022-12-12","53","37"
"USC00040693","BERKELEY, CA US","2022-12-13","55","38"
"USC00040693","BERKELEY, CA US","2022-12-14","55","39"
"USC00040693","BERKELEY, CA US","2022-12-15","57","40"
"USC00040693","BERKELEY, CA US","2022-12-16","58","43"
"USC00040693","BERKELEY, CA US","2022-12-17","59","39"
"USC00040693","BERKELEY, CA US","2022-12-18","57","37"
"USC00040693","BERKELEY, CA US","2022-12-19","50","38"
"USC00040693","BERKELEY, CA US","2022-12-20","55","42"
"USC00040693","BERKELEY, CA US","2022-12-21","59","42"
"USC00040693","BERKELEY, CA US","2022-12-22","59","44"
"USC00040693","BERKELEY, CA US","2022-12-23","60","46"
"USC00040693","BERKELEY, CA US","2022-12-24","64","46"
"USC00040693","BERKELEY, CA US","2022-12-25","66","46"
"USC00040693","BERKELEY, CA US","2022-12-26","56","46"
"USC00040693","BERKELEY, CA US","2022-12-27","57","44"
"USC00040693","BERKELEY, CA US","2022-12-28","55","44"
"USC00040693","BERKELEY, CA US","2022-12-29","56","48"
"USC00040693","BERKELEY, CA US","2022-12-30","61","56"
"USC00040693","BERKELEY, CA US","2022-12-31","56","44"
